alias,canonical
Paris Saint Germain,PSG
Paris St-Germain,PSG
PSG,PSG
Olympique de Marseille,Marseille
OM,Marseille
Arsenal,Arsenal
Chelsea,Chelsea
Real Madrid,Real Madrid
Barcelona,Barcelona
